X1,X2,X3,X4,Y1,Y2,Y3,Y4
1750,40,300,8,32.393539113799,121.502313158044,56.8995854152255,441.511620796069
250,60,300,8,19.364268939148,85.7077982348395,55.652320527201,418.516401543077
750,60,300,8,22.3663082690808,91.7682618660794,56.2855561461226,426.324440321143
1250,60,300,8,24.4134398743677,94.2679097491334,57.083059541869,417.686057464953
1750,60,300,8,25.5056637550089,93.2067418840016,58.0448307144404,392.601252974506
250,80,300,8,14.4870230462958,72.3528467785072,55.7744040141845,486.54400730966
750,80,300,8,18.430684792383,76.055192366701,56.9108044563867,467.352116529804
1750,80,300,8,23.45328511062,72.7774362985312,59.6764086712659,379.629070067322
250,20,450,8,40.3040393558319,107.159687347258,53.1906579570925,307.008819557844
750,20,450,8,39.8386621700216,117.887650572407,52.0384660384189,364.050656223313
1250,20,450,8,38.4183772595655,125.05479804937,51.0505418965701,404.646071254526
1750,20,450,8,36.0431846244636,128.661129778146,50.2268855315463,428.795064651482
250,40,450,8,24.4175962643466,76.3881619885351,53.6350089981774,310.975060482979
750,40,450,8,24.8938414946907,84.7580071706376,52.9859819027844,341.016967590526
1250,40,450,8,24.4151790003891,89.5670366045543,52.5012225842163,354.612453063816
750,60,450,8,14.784517533761,59.4946294574403,54.4198304247606,353.921463872117
1250,60,450,8,15.2474774556137,61.9455408483109,54.4382359294731,340.517019787485
1750,60,450,8,14.7555296528207,60.8356364909958,54.6209092110106,310.666154068597
250,80,450,8,7.1512002245793,38.4439083368042,55.9827090531789,426.722097076384
750,80,450,8,9.51069028723223,42.0975174328145,56.3400116043472,402.764145068086
1250,80,450,8,10.9152726252394,42.1903107806394,56.8615819323405,362.359771425532
1750,80,450,8,11.3649472386008,38.7222883802782,57.5474200371586,305.508976148721
250,20,600,8,40.4828110318405,80.2117794707742,48.5346660720506,199.832845747834
750,20,600,8,38.4332621625959,90.8910062037393,46.603376262343,252.108621184861
1250,20,600,8,35.4288055687056,98.0094171885189,44.8363542294604,287.937974987633
250,40,600,8,23.2581641705242,47.7562115868036,50.273949982458,211.614091660278
750,40,600,8,22.1502377174341,56.077320276723,48.8458249960311,236.889937539383
1250,40,600,8,20.0874035396982,60.8376132184564,47.5819677864291,245.719361784232
1750,40,600,8,17.0696616373165,62.0370904120039,46.482378353652,238.102364394824
250,60,600,8,10.8690140236091,23.1669093914052,52.4995665504759,259.333522487099
750,60,600,8,10.7027099866734,29.1299000382782,51.5746063873297,257.609438808282
1250,60,600,8,9.58149822509191,31.5320749369658,50.8139140010084,239.438933495209
1750,60,600,8,7.50537873886471,30.3734340874673,50.217489391512,204.822006547878
750,80,600,8,4.09067897031372,10.0487454884054,54.7897204362388,314.26712499156
1250,80,600,8,3.91108962488671,10.092802344047,54.5321928731982,269.096690120564
1750,80,600,8,2.77659255481388,6.57604345150243,54.4389330869824,207.479833615311
